coach_id,full_name,position,team_id
3bf36720-0ae5-11ee-8815-ebcc51704a53,Kaleb Nobles,Head Coach,200364e8-417b-4df6-91d5-9535c0616f1c
35ccf611-95e3-40b0-8de1-986a72aa5020,Tim Albin,Head Coach,30abfee7-57a7-4984-9a1c-55cb28970da3
92672703-eb7d-4c09-9220-99ecb1217753,Tony Sanchez,Head Coach,f6f4a672-6368-45aa-98d0-3756da844114
01014726-a00a-44d7-b812-f746eae63653,Sean Lewis,Head Coach,54585fd0-90d0-46bd-a018-d033fb2ee767
502ef390-b5bf-11ef-9548-bdf15ca23feb,Shawn Gibbs,Head Coach,b38454be-5f7b-4da0-915e-f5ec909e6fa0
97a263b0-91ee-11ee-8546-9d91efcc1b26,Tim Plough,Head Coach,15828630-7d0d-4ac5-8707-915879a90943
b7bf8866-7c69-4445-a5f0-cc39a3b7b09c,Bronco Mendenhall,Head Coach,e7268e7f-a453-4f46-b005-689d1d4966d4
f259b2a0-927f-11ed-acd0-9390b518de6c,Adam Lechtenberg,Head Coach,3ed71f8c-b9ac-4984-955b-4284b0430cd2
cf600550-7094-11ec-9e72-abe421777d0f,Steve Englehart,Head Coach,a17404cf-ae20-4bff-bef5-24f70008b2e0
a79a93d0-bd55-11ef-9083-c1ce058def7f,Brian Smith,Head Coach,a12fcb3c-9e0c-489d-a6a9-1a206c3da09c
45b04e2b-56e6-4866-8bf8-dc0f1d68a89d,Derek Mason,Head Coach,99562f49-a84d-4f6f-9ad4-949773430431
5d902cb0-c3a3-11ef-8d10-033d98acf02a,Joe Woodley,Head Coach,4b7ab0a0-c1e3-4a58-b679-77353e70a5eb
31064840-0e3b-11f0-b6ef-0bd7f8c42041,Frank Reich,Interim Head Coach,7cea6bcb-8ecd-4c92-9b13-31345051ab82
879fc970-7413-11ed-90d2-c7282d70d3d9,Alex Golesh,Head Coach,eacced25-52d9-4c27-ab9d-ea9aef995e82
61a216fa-398d-493b-acf2-0ca4c1f30afb,Pete Lembo,Head Coach,5fb529f6-f6b3-4892-a188-9b38addcc9a3
13e17ba5-2ebb-4e1e-b288-6c504f025dff,Walt Wells,Head Coach,3d924b68-94e8-497d-bcbb-37eef4ff911f
f4956776-1ae2-48fe-859f-1e379f057f32,Matt Rhule,Head Coach,98833e65-ab72-482d-b3c0-13f8656629c0
278c2ab0-bd77-11ef-bf7e-afe62791909d,Tommy Rybacki,Head Coach,deea4446-2bee-4144-96bc-9f1e8ccceee8
4937844f-30f5-40b4-a037-6980bc56124c,Bernard Clark Jr.,Head Coach,c3938316-631f-41fb-8f89-2c566118228e
2c06dc95-682a-4fe9-abb7-88dafa1f77a4,Clark Lea,Head Coach,8177772e-e8b5-44c6-8dc2-a745b863ec3b
cf8ff5c0-9f37-11ee-a994-07953bc09239,Jason Woodman,Head Coach,28f2ce75-b0ca-4cd3-a313-379168b0da95
019e4f8d-54c1-40cd-8a41-488f9eda1e73,Clay Helton,Head Coach,1ec48c6a-638f-4a79-a134-ec43bd506612
893254bb-5f68-4f17-a96d-9094d72520b9,Trei Oliver,Head Coach,f8e7c5f8-5865-4e7c-b221-c88a464f8f28
92a327c6-47aa-408b-a322-7c2fd81a0eb0,Justin Wilcox,Head Coach,eed7f0d6-72e6-4488-8baa-5ee8e3375ba9
2e9fc7e8-14e8-45f3-804e-b21216ae4564,Charles Huff,Head Coach,7a04d7e0-90cb-4497-8622-c53e284c2c19
e0c1c190-87ff-11f0-88ef-6bc208fec4ad,Joe Adam,Head Coach,a5348624-82b2-41e6-b748-492821883610
626597d1-03ce-4fb2-867c-723c13a29159,Jason Killday,Head Coach,6d5ccf66-48ec-4bb7-98c3-99f50207a221
c302b85f-1d03-48f2-a31e-90c76da48f90,Mario Cristobal,Head Coach,2f475a40-df87-43a7-b8a9-c36a43edff21
5e1dd9c7-32db-45ab-9634-7ef89fc4a8e2,Jim Mora,Head Coach,1a11c84d-18be-40d0-a354-f188958e16b1
8fb592ec-9d43-45cf-88bb-e09a16f9e5bd,Jedd Fisch,Head Coach,7293edba-9810-444b-9df1-709c24d1c522
7fc2aa50-8613-11f0-92cb-8bfd65e42314,Frank Turner,Head Coach,2e13191e-eb51-4d25-a3c7-7dec1fbfd3c8
b95981aa-5ec5-44bc-affc-e39f70f766c0,Frank Scelfo,Head Coach,2ffd2c8c-9100-46d1-8d33-6e154b0527fc
da2c00db-55e7-48ac-8495-81bf47cb59f9,Scotty Walden,Head Coach,1e1e3a19-cb5a-48a6-b961-a5359d21812d
94f5fd30-797f-11ed-8321-11767535da4e,Brian Newberry,Head Coach,b1ff8076-e373-4b6a-ab0f-7f8f86bf0370
0e1a79c0-756b-11ed-9506-83d6b1836fe4,Paul Wulff,Head Coach,ff330f91-bacc-4c43-b14e-604c58115ebd
69f0b461-9c39-4036-b773-cbdc9c1136cb,Willie Simmons,Head Coach,8e99908e-4ff2-4465-8e1b-156dcf7aa69d
d8cdf000-d183-11ee-90d1-e3c2e2d11772,Dell McGee,Head Coach,4f776283-3758-4325-b633-31a5be257a80
d7081b7e-3a99-433f-b725-f6d2c4a922af,Robert Prunty,Head Coach,55da9c15-db47-49d1-9a39-78ef11f2051b
61e29ff2-7d17-42df-8b77-15612f401669,Tyson Summers,Interim Head Coach,04f8c610-fe83-4b44-a3fc-02394869b81f
240e8e5b-d967-41b4-99e9-ee2dd68d7dd3,Joe Conlin,Head Coach,f4593f19-1082-4238-b519-09faadbeca37
42bce61a-c639-4539-9041-e9fb6b59d3d8,Jim Fleming,Head Coach,50767f7e-8543-4b94-b2b7-486ea647b5c1
6b79dfb0-7e2e-11f0-af5e-619dbbfcca08,Brad Sherrod,Head Coach,c0e09611-893e-426c-ae6e-873a65f33b69
9d330467-0ee0-4e71-af2c-5051f4cc1cd7,Greg Schiano,Head Coach,a60012f8-dc22-4c7d-9d1b-c00cdc3e9c97
141fac80-e10c-11ec-b8a1-9f86aa9803c1,Eli Gardner,Head Coach,642dacba-ddf7-4a1f-bcc8-72b0e6f74dc4
785c809e-508f-4cb5-8247-927fe0ef3cc4,Jonathan Smith,Head Coach,1cdf66a2-f157-4b4f-ad37-bd31e268f0ae
