venue_id,name,city,state,country,zip,address,capacity,surface,roof_type,latitude,longitude
5189127d-ea58-4917-84b8-8456f3abb8b2,Jerry Richardson Stadium,Charlotte,NC,USA,28262,9201 University City Boulevard,15314,artificial,outdoor,35.3105,-80.7401
170baa73-abb9-4247-8aea-190c51233841,Aggie Memorial Stadium,Las Cruces,NM,USA,88003,1810 E University Avenue,30343,artificial,outdoor,32.2795,-106.7417
7d20b630-56c3-11ec-9281-217a369cffb1,Snapdragon Stadium,San Diego,CA,USA,92108,9449 Friars Road,35000,turf,outdoor,32.7841,-117.1224
acb633c4-e7e7-4ee1-b539-07b05a2ac5d4,Truist Stadium,Greensboro,NC,USA,27411,1601 E Market Street,21500,turf,outdoor,36.0814,-79.7700
ef6e4242-101e-44d9-b2c4-e93eb9e6ebf7,UC Davis Health Stadium,Davis,CA,USA,95616,La Rue Road,10743,artificial,outdoor,38.5366,-121.7628
005c634f-8de4-4b05-9dee-3e56c31b255b,Merlin Olsen Field at Maverik Stadium,Logan,UT,USA,84322,1000 North 800 East,25100,artificial,outdoor,41.7517,-113.0773
bdd846b5-b655-4ac5-b433-fa24a91f3fe5,Arute Field,New Britain,CT,USA,06050,1615 Stanley Street,5500,artificial,outdoor,41.6951,-72.7616
898e9169-9370-4c2c-a4df-48dec30e89e0,Bailey Memorial Stadium,Clinton,SC,USA,29325,State Rd S-30-71,6500,turf,outdoor,34.4616,-81.8614
4eabf6a3-e956-466c-9e19-95d03fb2f325,Frank Solich Field at Peden Stadium,Athens,OH,USA,45701,Richland Avenue & South Green Drive,24000,artificial,outdoor,39.3210,-82.1030
b07ff7f8-8aad-4249-970b-6a65032e6f04,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,USA,37132,1327 Faulkinberry Drive,30788,artificial,outdoor,35.8513,-86.3682
12f10ec4-49ec-4e2b-ae32-d913c2137ebd,Blue Raider Stadium,Columbia,KY,USA,42728,928 Russell Road,1500,turf,outdoor,35.8506,-86.3676
d80a63f2-ce57-4312-833d-72bf8ba6f1b5,Drake Stadium (IA),Des Moines,IA,USA,50311,2719 Forest Avenue,14557,artificial,outdoor,41.6050,-93.6551
a338a835-dd2b-4723-a886-d761bbaf491d,Stanford Stadium,Stanford,CA,USA,94305,625 Nelson Road,50424,turf,outdoor,37.4345,-122.1611
11833950-c0a5-4188-8a82-b5488211ca80,Raymond James Stadium,Tampa,FL,USA,33607,4201 North Dale Mabry Highway,69218,turf,outdoor,27.9759,-82.5033
9dce8c9b-13c6-41a7-a280-4d8993a594f3,UB Stadium,Buffalo,NY,USA,14260,102 Alumni Arena,25013,artificial,outdoor,42.9992,-78.7775
12f36dc5-090d-413c-8330-da761d3a1bcb,Roy Kidd Stadium,Richmond,KY,USA,40475,Roy and Sue Kidd Way,20000,artificial,outdoor,37.7345,-84.2977
6c656e44-7186-4da9-adfe-0d341bcacf86,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,USA,68508,600 Stadium Drive,85458,artificial,outdoor,40.8207,-96.7056
00828546-ccd4-4f57-89b5-3ceeee59b6df,Manning Field at John L. Guidry Stadium,Thibodaux,LA,USA,70301,906 E 1st Street,10500,artificial,outdoor,29.7851,-90.8024
7552087d-9bab-4959-b92f-dc657441168c,Joe Walton Stadium,Moon Township,PA,USA,15108,1504 Woodcrest Avenue,3000,artificial,outdoor,40.5211,-80.2162
